Timestamp,CAN_ID,DLC,Data
1787422775.028676,0x100,2,22 00
1787422775.028802,0x101,2,C6 07
1787422775.028814,0x102,2,4E 00
1787422775.528997,0x100,2,20 00
1787422775.529115,0x101,2,80 07
1787422775.529135,0x102,2,4E 00
1787422776.029396,0x100,2,1E 00
1787422776.029480,0x101,2,3A 07
1787422776.029489,0x102,2,4E 00
1787422776.530057,0x100,2,1C 00
1787422776.530221,0x101,2,F4 06
1787422776.530242,0x102,2,4E 00
1787422777.031272,0x100,2,1A 00
1787422777.031377,0x101,2,AE 06
1787422777.031418,0x102,2,4D 00
1787422777.532084,0x100,2,18 00
1787422777.532180,0x101,2,68 06
1787422777.532214,0x102,2,4D 00
1787422778.032953,0x100,2,16 00
1787422778.033045,0x101,2,22 06
1787422778.033062,0x102,2,4D 00
1787422778.533292,0x100,2,14 00
1787422778.533377,0x101,2,DC 05
1787422778.533386,0x102,2,4D 00
1787422779.033964,0x100,2,12 00
1787422779.034029,0x101,2,96 05
1787422779.034047,0x102,2,4D 00
1787422779.535115,0x100,2,10 00
1787422779.535231,0x101,2,50 05
1787422779.535268,0x102,2,4D 00
1787422780.036197,0x100,2,0E 00
1787422780.036395,0x101,2,0A 05
1787422780.036432,0x102,2,4D 00
1787422780.537624,0x100,2,0C 00
1787422780.537858,0x101,2,C4 04
1787422780.537894,0x102,2,4D 00
1787422781.038539,0x100,2,0A 00
1787422781.038752,0x101,2,7E 04
1787422781.038796,0x102,2,4D 00
1787422781.539708,0x100,2,08 00
1787422781.539828,0x101,2,38 04
1787422781.539858,0x102,2,4D 00
1787422782.040276,0x100,2,06 00
1787422782.040361,0x101,2,F2 03
1787422782.040393,0x102,2,4D 00
1787422782.540919,0x100,2,04 00
1787422782.541203,0x101,2,AC 03
1787422782.541248,0x102,2,4D 00
1787422783.041544,0x100,2,02 00
1787422783.041607,0x101,2,66 03
1787422783.041616,0x102,2,4D 00
1787422783.542691,0x100,2,00 00
1787422783.542815,0x101,2,20 03
1787422783.542854,0x102,2,4D 00
1787422784.043436,0x100,2,02 00
1787422784.043597,0x101,2,66 03
1787422784.043621,0x102,2,4D 00
1787422784.544271,0x100,2,04 00
1787422784.544414,0x101,2,AC 03
1787422784.544432,0x102,2,4D 00
1787422785.045470,0x100,2,06 00
1787422785.045568,0x101,2,F2 03
1787422785.045606,0x102,2,4D 00
1787422785.546064,0x100,2,08 00
1787422785.546228,0x101,2,38 04
1787422785.546239,0x102,2,4D 00
1787422786.047221,0x100,2,0A 00
1787422786.047330,0x101,2,7E 04
1787422786.047365,0x102,2,4D 00
1787422786.547973,0x100,2,0C 00
1787422786.548242,0x101,2,C4 04
1787422786.548301,0x102,2,4D 00
1787422787.048499,0x100,2,0E 00
1787422787.048607,0x101,2,0A 05
1787422787.048625,0x102,2,4C 00
1787422787.549175,0x100,2,10 00
1787422787.549460,0x101,2,50 05
1787422787.549500,0x102,2,4C 00
1787422788.050456,0x100,2,12 00
1787422788.050563,0x101,2,96 05
1787422788.050611,0x102,2,4C 00
1787422788.550913,0x100,2,14 00
1787422788.551020,0x101,2,DC 05
1787422788.551031,0x102,2,4C 00
1787422789.051603,0x100,2,16 00
1787422789.051769,0x101,2,22 06
1787422789.051793,0x102,2,4C 00
1787422789.552644,0x100,2,18 00
1787422789.552807,0x101,2,68 06
1787422789.552838,0x102,2,4C 00
1787422790.053402,0x100,2,1A 00
1787422790.053608,0x101,2,AE 06
1787422790.053637,0x102,2,4C 00
1787422790.554368,0x100,2,1C 00
1787422790.554467,0x101,2,F4 06
1787422790.554475,0x102,2,4C 00
1787422791.055048,0x100,2,1E 00
1787422791.055129,0x101,2,3A 07
1787422791.055142,0x102,2,4C 00
1787422791.555425,0x100,2,20 00
1787422791.555570,0x101,2,80 07
1787422791.555586,0x102,2,4C 00
1787422792.056644,0x100,2,22 00
1787422792.056901,0x101,2,C6 07
1787422792.056948,0x102,2,4C 00
1787422792.557831,0x100,2,24 00
1787422792.557959,0x101,2,0C 08
1787422792.557995,0x102,2,4C 00
1787422793.058440,0x100,2,26 00
1787422793.058605,0x101,2,52 08
1787422793.058644,0x102,2,4C 00
1787422793.559225,0x100,2,28 00
1787422793.559339,0x101,2,98 08
1787422793.559370,0x102,2,4D 00
1787422794.060875,0x100,2,2A 00
1787422794.061004,0x101,2,DE 08
1787422794.061040,0x102,2,4D 00
1787422794.562130,0x100,2,2C 00
1787422794.562291,0x101,2,24 09
1787422794.562334,0x102,2,4D 00
1787422795.062633,0x100,2,2E 00
1787422795.062702,0x101,2,6A 09
1787422795.062714,0x102,2,4D 00
1787422795.563161,0x100,2,30 00
1787422795.563307,0x101,2,B0 09
1787422795.563332,0x102,2,4D 00
1787422796.063861,0x100,2,32 00
1787422796.064061,0x101,2,F6 09
1787422796.064093,0x102,2,4D 00
1787422796.564608,0x100,2,34 00
1787422796.564699,0x101,2,3C 0A
1787422796.564733,0x102,2,4D 00
1787422797.065074,0x100,2,36 00
1787422797.065153,0x101,2,82 0A
1787422797.065165,0x102,2,4D 00
1787422797.565831,0x100,2,38 00
1787422797.566050,0x101,2,C8 0A
1787422797.566346,0x102,2,4D 00
1787422798.066871,0x100,2,3A 00
1787422798.067104,0x101,2,0E 0B
1787422798.067144,0x102,2,4D 00
1787422798.567635,0x100,2,3C 00
1787422798.567791,0x101,2,54 0B
1787422798.567817,0x102,2,4E 00
1787422799.068124,0x100,2,3E 00
1787422799.068221,0x101,2,9A 0B
1787422799.068236,0x102,2,4E 00
1787422799.568648,0x100,2,40 00
1787422799.568728,0x101,2,E0 0B
1787422799.568737,0x102,2,4E 00
1787422800.069429,0x100,2,42 00
1787422800.069520,0x101,2,26 0C
1787422800.069550,0x102,2,4E 00
1787422800.570335,0x100,2,44 00
1787422800.570442,0x101,2,6C 0C
1787422800.570472,0x102,2,4E 00
1787422801.071228,0x100,2,46 00
1787422801.071327,0x101,2,B2 0C
1787422801.071355,0x102,2,4E 00
1787422801.572176,0x100,2,48 00
1787422801.572402,0x101,2,F8 0C
1787422801.572437,0x102,2,4E 00
1787422802.073527,0x100,2,4A 00
1787422802.073627,0x101,2,3E 0D
1787422802.073833,0x102,2,4E 00
1787422802.574679,0x100,2,4C 00
1787422802.575148,0x101,2,84 0D
1787422802.575187,0x102,2,4E 00
1787422803.075518,0x100,2,4E 00
1787422803.075927,0x101,2,CA 0D
1787422803.076109,0x102,2,4E 00
1787422803.575916,0x100,2,50 00
1787422803.575963,0x101,2,10 0E
1787422803.575973,0x102,2,4F 00
1787422804.076980,0x100,2,52 00
1787422804.077065,0x101,2,56 0E
1787422804.077103,0x102,2,4F 00
1787422804.578203,0x100,2,54 00
1787422804.578291,0x101,2,9C 0E
1787422804.578327,0x102,2,4F 00
1787422805.079515,0x100,2,56 00
1787422805.079608,0x101,2,E2 0E
1787422805.079627,0x102,2,4F 00
1787422805.580805,0x100,2,58 00
1787422805.580982,0x101,2,28 0F
1787422805.581025,0x102,2,4F 00
1787422806.081785,0x100,2,5A 00
1787422806.081902,0x101,2,6E 0F
1787422806.081922,0x102,2,4F 00
1787422806.582461,0x100,2,5C 00
1787422806.582503,0x101,2,B4 0F
1787422806.582510,0x102,2,4F 00
1787422807.083105,0x100,2,5E 00
1787422807.083274,0x101,2,FA 0F
1787422807.083312,0x102,2,4F 00
1787422807.583718,0x100,2,60 00
1787422807.583850,0x101,2,40 10
1787422807.583879,0x102,2,4F 00
1787422808.084609,0x100,2,62 00
1787422808.084697,0x101,2,86 10
1787422808.084728,0x102,2,4F 00
1787422808.585770,0x100,2,64 00
1787422808.586039,0x101,2,CC 10
1787422808.586073,0x102,2,50 00
1787422809.086579,0x100,2,66 00
1787422809.086669,0x101,2,12 11
1787422809.086726,0x102,2,50 00
1787422809.587276,0x100,2,68 00
1787422809.587381,0x101,2,58 11
1787422809.587407,0x102,2,50 00
1787422810.088990,0x100,2,6A 00
1787422810.089097,0x101,2,9E 11
1787422810.089133,0x102,2,50 00
1787422810.589774,0x100,2,6C 00
1787422810.589889,0x101,2,E4 11
1787422810.589912,0x102,2,50 00
1787422811.090574,0x100,2,6E 00
1787422811.090670,0x101,2,2A 12
1787422811.090705,0x102,2,50 00
1787422811.590964,0x100,2,70 00
1787422811.591011,0x101,2,70 12
1787422811.591019,0x102,2,50 00
1787422812.091705,0x100,2,72 00
1787422812.091804,0x101,2,B6 12
1787422812.091835,0x102,2,50 00
1787422812.592844,0x100,2,74 00
1787422812.593041,0x101,2,FC 12
1787422812.593075,0x102,2,50 00
1787422813.093996,0x100,2,76 00
1787422813.094116,0x101,2,42 13
1787422813.094138,0x102,2,50 00
1787422813.595131,0x100,2,78 00
1787422813.595341,0x101,2,88 13
1787422813.595485,0x102,2,51 00
1787422814.095653,0x100,2,76 00
1787422814.095973,0x101,2,42 13
1787422814.096005,0x102,2,51 00
1787422814.596585,0x100,2,74 00
1787422814.596712,0x101,2,FC 12
1787422814.596735,0x102,2,51 00
1787422815.097229,0x100,2,72 00
1787422815.097325,0x101,2,B6 12
1787422815.097360,0x102,2,51 00
1787422815.597893,0x100,2,70 00
1787422815.598112,0x101,2,70 12
1787422815.598141,0x102,2,51 00
1787422816.098389,0x100,2,6E 00
1787422816.098440,0x101,2,2A 12
1787422816.098451,0x102,2,51 00
1787422816.599007,0x100,2,6C 00
1787422816.599096,0x101,2,E4 11
1787422816.599118,0x102,2,51 00
1787422817.099448,0x100,2,6A 00
1787422817.099508,0x101,2,9E 11
1787422817.099641,0x102,2,51 00
1787422817.599809,0x100,2,68 00
1787422817.599862,0x101,2,58 11
1787422817.599871,0x102,2,51 00
1787422818.100627,0x100,2,66 00
1787422818.100724,0x101,2,12 11
1787422818.100767,0x102,2,51 00
1787422818.601528,0x100,2,64 00
1787422818.601642,0x101,2,CC 10
1787422818.601906,0x102,2,52 00
1787422819.103052,0x100,2,62 00
1787422819.103194,0x101,2,86 10
1787422819.103266,0x102,2,52 00
1787422819.603636,0x100,2,60 00
1787422819.603890,0x101,2,40 10
1787422819.603930,0x102,2,52 00
1787422820.104233,0x100,2,5E 00
1787422820.104403,0x101,2,FA 0F
1787422820.104444,0x102,2,52 00
1787422820.604765,0x100,2,5C 00
1787422820.604925,0x101,2,B4 0F
1787422820.604953,0x102,2,52 00
1787422821.105916,0x100,2,5A 00
1787422821.106033,0x101,2,6E 0F
1787422821.106060,0x102,2,52 00
1787422821.606919,0x100,2,58 00
1787422821.607012,0x101,2,28 0F
1787422821.607035,0x102,2,52 00
1787422822.107316,0x100,2,56 00
1787422822.107493,0x101,2,E2 0E
1787422822.107520,0x102,2,52 00
1787422822.607991,0x100,2,54 00
1787422822.608089,0x101,2,9C 0E
1787422822.608126,0x102,2,52 00
1787422823.109565,0x100,2,52 00
1787422823.109802,0x101,2,56 0E
1787422823.109846,0x102,2,52 00
1787422823.609953,0x100,2,50 00
1787422823.610012,0x101,2,10 0E
1787422823.610020,0x102,2,53 00
1787422824.110444,0x100,2,4E 00
1787422824.110592,0x101,2,CA 0D
1787422824.110671,0x102,2,53 00
1787422824.611147,0x100,2,4C 00
1787422824.611249,0x101,2,84 0D
1787422824.611287,0x102,2,53 00
1787422825.111689,0x100,2,4A 00
1787422825.111788,0x101,2,3E 0D
1787422825.111822,0x102,2,53 00
1787422825.612350,0x100,2,48 00
1787422825.612640,0x101,2,F8 0C
1787422825.612681,0x102,2,53 00
1787422826.113174,0x100,2,46 00
1787422826.113454,0x101,2,B2 0C
1787422826.113493,0x102,2,53 00
1787422826.614589,0x100,2,44 00
1787422826.614888,0x101,2,6C 0C
1787422826.614955,0x102,2,53 00
1787422827.115349,0x100,2,42 00
1787422827.115420,0x101,2,26 0C
1787422827.115437,0x102,2,53 00
1787422827.615867,0x100,2,40 00
1787422827.615963,0x101,2,E0 0B
1787422827.615980,0x102,2,53 00
1787422828.116342,0x100,2,3E 00
1787422828.116430,0x101,2,9A 0B
1787422828.116437,0x102,2,53 00
1787422828.617470,0x100,2,3C 00
1787422828.617640,0x101,2,54 0B
1787422828.617750,0x102,2,54 00
1787422829.118332,0x100,2,3A 00
1787422829.118427,0x101,2,0E 0B
1787422829.118469,0x102,2,54 00
1787422829.619673,0x100,2,38 00
1787422829.619882,0x101,2,C8 0A
1787422829.619917,0x102,2,54 00
1787422830.120345,0x100,2,36 00
1787422830.120452,0x101,2,82 0A
1787422830.120497,0x102,2,54 00
1787422830.621110,0x100,2,34 00
1787422830.621389,0x101,2,3C 0A
1787422830.621414,0x102,2,54 00
1787422831.122124,0x100,2,32 00
1787422831.122279,0x101,2,F6 09
1787422831.122305,0x102,2,54 00
1787422831.622808,0x100,2,30 00
1787422831.622866,0x101,2,B0 09
1787422831.622879,0x102,2,54 00
1787422832.123328,0x100,2,2E 00
1787422832.123422,0x101,2,6A 09
1787422832.123439,0x102,2,54 00
1787422832.624402,0x100,2,2C 00
1787422832.624492,0x101,2,24 09
1787422832.624503,0x102,2,54 00
1787422833.125034,0x100,2,2A 00
1787422833.125282,0x101,2,DE 08
1787422833.125313,0x102,2,54 00
1787422833.625916,0x100,2,28 00
1787422833.626060,0x101,2,98 08
1787422833.626083,0x102,2,55 00
1787422834.126598,0x100,2,26 00
1787422834.126699,0x101,2,52 08
1787422834.126723,0x102,2,55 00
1787422834.627547,0x100,2,24 00
1787422834.627640,0x101,2,0C 08
1787422834.627659,0x102,2,55 00
1787422835.128033,0x100,2,22 00
1787422835.128270,0x101,2,C6 07
1787422835.128298,0x102,2,55 00
1787422835.628740,0x100,2,20 00
1787422835.628908,0x101,2,80 07
1787422835.628933,0x102,2,55 00
1787422836.129448,0x100,2,1E 00
1787422836.129581,0x101,2,3A 07
1787422836.129620,0x102,2,55 00
1787422836.630257,0x100,2,1C 00
1787422836.630394,0x101,2,F4 06
1787422836.630429,0x102,2,55 00
1787422837.131103,0x100,2,1A 00
1787422837.131276,0x101,2,AE 06
1787422837.131289,0x102,2,55 00
1787422837.631883,0x100,2,18 00
1787422837.632047,0x101,2,68 06
1787422837.632171,0x102,2,55 00
1787422838.132562,0x100,2,16 00
1787422838.132603,0x101,2,22 06
1787422838.132614,0x102,2,55 00
1787422838.633749,0x100,2,14 00
1787422838.633869,0x101,2,DC 05
1787422838.633903,0x102,2,55 00
1787422839.135024,0x100,2,12 00
1787422839.135114,0x101,2,96 05
1787422839.135151,0x102,2,55 00
1787422839.636202,0x100,2,10 00
1787422839.636313,0x101,2,50 05
1787422839.636346,0x102,2,55 00
1787422840.136667,0x100,2,0E 00
1787422840.136705,0x101,2,0A 05
1787422840.136713,0x102,2,55 00
1787422840.637174,0x100,2,0C 00
1787422840.637353,0x101,2,C4 04
1787422840.637412,0x102,2,54 00
1787422841.138292,0x100,2,0A 00
1787422841.138532,0x101,2,7E 04
1787422841.138576,0x102,2,54 00
1787422841.639086,0x100,2,08 00
1787422841.639251,0x101,2,38 04
1787422841.639289,0x102,2,54 00
1787422842.139858,0x100,2,06 00
1787422842.140127,0x101,2,F2 03
1787422842.140164,0x102,2,54 00
1787422842.640730,0x100,2,04 00
1787422842.640914,0x101,2,AC 03
1787422842.640954,0x102,2,54 00
1787422843.141894,0x100,2,02 00
